Account ID,Client id,Branch Name,Product Id,Loan Amount,Funded Amount,Funded Amount Inv,Disbursement Date,Loan Status,Repayment Type,Center Id,BranchID
ACC000057,389,VARANASI,JLG30K,49838,7262,17531,2023-05-22 00:00:00,Fully Paid,Monthly EMI,1280108,VARANASI-1280108
ACC000058,438,MUKTSAR,JLG50K,21191,37436,15455,2022-07-20 00:00:00,Active,Quarterly EMI,1110166,MUKTSAR-1110166
ACC000059,929,SIRSA,JLG44K,11075,35641,22867,2017-07-28 00:00:00,Paid Off,Quarterly EMI,730084,SIRSA-730084
ACC000060,583,DHURI,JLG40K,45722,3094,1650,2021-09-26 00:00:00,Paid Off,Monthly EMI,1030063,DHURI-1030063
ACC000061,527,BEHROR,JLG30K,12194,44573,2944,2018-02-10 00:00:00,Default,Monthly EMI,30179,BEHROR-30179
ACC000062,599,DURGAPUR,JLG30K,19117,37933,10250,2016-04-07 00:00:00,Active,Monthly EMI,700013,DURGAPUR-700013
ACC000063,781,Mathura,JLG35K,13860,9030,18653,2017-05-22 00:00:00,Default,Monthly EMI,910182,Mathura-910182
ACC000064,592,BEHROR,JLG35,16682,8122,39585,2018-01-13 00:00:00,Fully Paid,Quarterly EMI,30179,BEHROR-30179
ACC000065,501,Mangaldoi,JLG30K,32358,43953,3273,2016-09-27 00:00:00,Paid Off,Quarterly EMI,570241,Mangaldoi-570241
ACC000066,957,HAPUR,JLG35K,42998,9607,20396,2022-07-26 00:00:00,Default,Quarterly EMI,210563,HAPUR-210563
ACC000067,264,BEHROR,JLG35K,44976,45897,26048,2023-08-20 00:00:00,Fully Paid,Quarterly EMI,30179,BEHROR-30179
ACC000068,184,TEZPUR,JLG30K,44956,49078,44821,2017-04-18 00:00:00,Fully Paid,Monthly EMI,680026,TEZPUR-680026
ACC000069,802,PALWAL,JLG30K,27944,34234,36297,2023-07-09 00:00:00,Paid Off,Monthly EMI,20242,PALWAL-20242
ACC000070,548,BEHROR,JLG30K,39169,24275,14292,2017-08-27 00:00:00,Paid Off,Monthly EMI,30179,BEHROR-30179
ACC000071,407,BULANDSHAHR,JLG35,27028,18539,24898,2015-09-23 00:00:00,Active,Monthly EMI,10068,BULANDSHAHR-10068
ACC000072,143,FATEHABAD,JLG30K,43418,9715,32765,2022-09-06 00:00:00,Default,Monthly EMI,670106,FATEHABAD-670106
ACC000073,586,DHURI,JLG29K,19883,10961,29901,2019-01-19 00:00:00,Paid Off,Monthly EMI,1030063,DHURI-1030063
ACC000074,67,MOTIHARI,JLG30K,22796,17749,40196,2019-04-17 00:00:00,Default,Quarterly EMI,520376,MOTIHARI-520376
ACC000075,15,MAWANA,JLG35K,13708,20110,12289,2017-09-15 00:00:00,Paid Off,Quarterly EMI,800018,MAWANA-800018
ACC000076,895,DURGAPUR,JLG30K,29153,45719,34105,2023-04-11 00:00:00,Active,Quarterly EMI,700013,DURGAPUR-700013
ACC000077,530,VARANASI,JLG35K,7806,41534,13622,2017-07-23 00:00:00,Active,Monthly EMI,1280108,VARANASI-1280108
ACC000078,596,SIRSA,JLG40K,48100,17717,28836,2022-10-11 00:00:00,Paid Off,Quarterly EMI,730084,SIRSA-730084
ACC000079,969,BILASPUR,JLG30K,42701,28482,26568,2022-01-30 00:00:00,Active,Monthly EMI,240005,BILASPUR-240005
ACC000080,803,Mathura,JLG30K,35683,23023,29685,2023-06-15 00:00:00,Active,Quarterly EMI,910182,Mathura-910182
ACC000081,353,Mathura,JLG35K,28413,27026,10723,2022-12-04 00:00:00,Fully Paid,Quarterly EMI,910182,Mathura-910182
ACC000082,157,ASANSOL,JLG30K,38388,37541,28911,2019-11-08 00:00:00,Active,Monthly EMI,690076,ASANSOL-690076
ACC000083,908,BEHROR,JLG35K,45039,19247,26170,2021-01-06 00:00:00,Paid Off,Quarterly EMI,30179,BEHROR-30179
ACC000084,485,MUKTSAR,JLG30K,41935,2903,37536,2019-02-21 00:00:00,Fully Paid,Monthly EMI,1110166,MUKTSAR-1110166
ACC000085,546,CUTTACK,JLG44K,2803,37452,37588,2016-08-24 00:00:00,Default,Quarterly EMI,630081,CUTTACK-630081
ACC000086,346,MUKTSAR,JLG40K,10849,25823,2282,2018-02-22 00:00:00,Paid Off,Monthly EMI,1110166,MUKTSAR-1110166
ACC000087,397,FATEHGARH SAHIB,JLG44K,15846,48444,35742,2022-02-02 00:00:00,Default,Monthly EMI,120676,FATEHGARH SAHIB-120676
ACC000088,554,SANGRUR,JLG35K,8596,40562,12942,2021-07-03 00:00:00,Fully Paid,Monthly EMI,110159,SANGRUR-110159
ACC000089,907,SANGRUR,JLG30K,40133,17502,36178,2018-10-11 00:00:00,Active,Monthly EMI,110159,SANGRUR-110159
ACC000090,275,BILASPUR,JLG35K,49273,41031,19438,2023-06-27 00:00:00,Fully Paid,Monthly EMI,240005,BILASPUR-240005
ACC000091,455,MADHUBANI,JLG46K,38086,47958,30455,2016-01-02 00:00:00,Default,Monthly EMI,1140044,MADHUBANI-1140044
ACC000092,359,SIRSA,JLG50K,8625,44836,6155,2017-11-07 00:00:00,Paid Off,Monthly EMI,730084,SIRSA-730084
ACC000093,885,KAROND,JLG35K,23461,38512,7783,2015-07-10 00:00:00,Active,Quarterly EMI,1320004,KAROND-1320004
ACC000094,158,Mangaldoi,JLG30K,38800,2402,37939,2021-04-27 00:00:00,Paid Off,Quarterly EMI,570241,Mangaldoi-570241
ACC000095,159,NIMAPADA,JLG30K,43418,19352,40319,2019-12-20 00:00:00,Default,Quarterly EMI,440052,NIMAPADA-440052
ACC000096,316,MAHASAMUND,JLG35K,47244,13513,41851,2020-02-28 00:00:00,Paid Off,Monthly EMI,250029,MAHASAMUND-250029
ACC000097,780,DURGAPUR,JLG46K,46435,16601,4858,2016-10-23 00:00:00,Paid Off,Quarterly EMI,700013,DURGAPUR-700013
ACC000098,27,MUKTSAR,JLG35K,45010,28918,3163,2021-02-28 00:00:00,Active,Monthly EMI,1110166,MUKTSAR-1110166
ACC000099,631,TEZPUR,JLG30K,6560,18644,2792,2021-07-28 00:00:00,Paid Off,Quarterly EMI,680026,TEZPUR-680026
ACC000100,72,DHURI,JLG30K,30392,38070,43089,2016-08-23 00:00:00,Active,Monthly EMI,1030063,DHURI-1030063
ACC000101,665,Mathura,JLG46K,17767,29518,10124,2018-03-22 00:00:00,Paid Off,Quarterly EMI,910182,Mathura-910182
ACC000102,788,SIWAN,JLG30K,36062,49077,33824,2017-04-23 00:00:00,Active,Monthly EMI,790102,SIWAN-790102
ACC000103,34,DHURI,JLG35K,5311,6270,42683,2017-09-26 00:00:00,Paid Off,Quarterly EMI,1030063,DHURI-1030063
ACC000104,898,CHHAPRA,JLG35K,38741,37988,20373,2017-12-11 00:00:00,Paid Off,Monthly EMI,380112,CHHAPRA-380112
ACC000105,371,CUTTACK,JLG35K,15885,36925,27523,2016-07-08 00:00:00,Default,Quarterly EMI,630081,CUTTACK-630081
ACC000106,779,KAROND,JLG50K,30946,43638,23581,2023-11-30 00:00:00,Fully Paid,Monthly EMI,1320004,KAROND-1320004
ACC000107,729,Mathura,JLG30K,14762,16751,14813,2021-01-11 00:00:00,Fully Paid,Monthly EMI,910182,Mathura-910182
ACC000108,318,MUKTSAR,JLG44K,14845,25785,4584,2016-04-27 00:00:00,Fully Paid,Monthly EMI,1110166,MUKTSAR-1110166
ACC000109,565,SANGRUR,JLG30K,29025,15606,41466,2020-09-17 00:00:00,Fully Paid,Monthly EMI,110159,SANGRUR-110159
ACC000110,976,MAWANA,JLG30K,45364,35615,12205,2018-06-03 00:00:00,Fully Paid,Monthly EMI,800018,MAWANA-800018
ACC000111,499,ASANSOL,JLG35K,30743,36969,28050,2019-05-15 00:00:00,Default,Monthly EMI,690076,ASANSOL-690076
ACC000112,903,BULANDSHAHR,JLG50K,42814,46638,9967,2020-10-13 00:00:00,Paid Off,Quarterly EMI,10068,BULANDSHAHR-10068
ACC000113,917,Mathura,JLG35K,5157,45503,43551,2019-07-26 00:00:00,Active,Quarterly EMI,910182,Mathura-910182
ACC000114,561,DURGAPUR,JLG30K,3615,27605,7426,2019-02-02 00:00:00,Active,Monthly EMI,700013,DURGAPUR-700013
ACC000115,326,PATIALA,JLG35K,18154,7711,29945,2019-11-30 00:00:00,Paid Off,Quarterly EMI,100186,PATIALA-100186
ACC000116,971,BEHROR,JLG46K,27156,35606,44860,2016-01-05 00:00:00,Paid Off,Monthly EMI,30179,BEHROR-30179
ACC000117,468,MUKTSAR,JLG35K,13516,19847,31820,2015-11-15 00:00:00,Paid Off,Quarterly EMI,1110166,MUKTSAR-1110166
ACC000118,456,MODINAGAR,JLG30K,40976,13672,26721,2015-06-22 00:00:00,Paid Off,Monthly EMI,410521,MODINAGAR-410521
ACC000119,331,BEHROR,JLG30K,48333,3623,23997,2022-05-21 00:00:00,Fully Paid,Quarterly EMI,30179,BEHROR-30179
ACC000120,69,SANGRUR,JLG35K,46816,23532,6156,2020-06-15 00:00:00,Default,Quarterly EMI,110159,SANGRUR-110159
ACC000121,657,BULANDSHAHR,JLG35K,39663,21498,7443,2015-01-13 00:00:00,Fully Paid,Quarterly EMI,10068,BULANDSHAHR-10068
ACC000122,587,JALANDHAR,JLG40K,30284,14355,28590,2017-07-19 00:00:00,Default,Quarterly EMI,160051,JALANDHAR-160051
ACC000123,249,Mangaldoi,JLG35K,7784,34797,1932,2018-08-30 00:00:00,Fully Paid,Monthly EMI,570241,Mangaldoi-570241
ACC000124,254,JAMMU,JLG46K,15471,15637,3883,2015-07-07 00:00:00,Fully Paid,Monthly EMI,720081,JAMMU-720081
ACC000125,326,SANGRUR,JLG30K,35470,42124,33803,2019-07-25 00:00:00,Fully Paid,Quarterly EMI,110159,SANGRUR-110159
ACC000126,671,SANGRUR,JLG35K,38395,33167,29039,2018-02-25 00:00:00,Fully Paid,Quarterly EMI,110159,SANGRUR-110159
ACC000127,945,CHHATA,JLG30K,29122,38079,38159,2018-09-24 00:00:00,Fully Paid,Quarterly EMI,910020,CHHATA-910020
ACC000128,134,Mangaldoi,JLG30K,12754,12650,19601,2021-01-28 00:00:00,Fully Paid,Monthly EMI,570241,Mangaldoi-570241
ACC000129,802,DURGAPUR,JLG35K,47703,38287,30251,2022-06-02 00:00:00,Paid Off,Monthly EMI,700013,DURGAPUR-700013
ACC000130,956,ASANSOL,JLG30K,29087,22277,35757,2022-07-17 00:00:00,Active,Quarterly EMI,690076,ASANSOL-690076
ACC000131,995,FATEHGARH SAHIB,JLG35K,37790,10941,6165,2016-01-04 00:00:00,Paid Off,Quarterly EMI,120676,FATEHGARH SAHIB-120676
ACC000132,420,BEHROR,JLG35K,13518,15004,16744,2017-01-12 00:00:00,Active,Quarterly EMI,30179,BEHROR-30179
ACC000133,135,DHURI,JLG30K,8280,38488,31619,2023-10-26 00:00:00,Active,Monthly EMI,1030063,DHURI-1030063
ACC000134,446,BEHROR,JLG30K,18025,49700,34731,2023-11-06 00:00:00,Paid Off,Quarterly EMI,30179,BEHROR-30179
ACC000135,497,Mathura,JLG30K,2346,7090,5541,2023-12-01 00:00:00,Fully Paid,Quarterly EMI,910182,Mathura-910182
ACC000136,711,MUKTSAR,JLG30K,32919,2290,6374,2020-10-21 00:00:00,Default,Quarterly EMI,1110166,MUKTSAR-1110166
ACC000137,299,BUXAR,JLG35K,10001,28444,21252,2021-12-13 00:00:00,Active,Quarterly EMI,710002,BUXAR-710002
ACC000138,301,MAWANA,JLG30K,35726,32404,7175,2020-04-08 00:00:00,Default,Monthly EMI,800018,MAWANA-800018
ACC000139,922,SANGRUR,JLG30K,26756,10648,27186,2018-06-17 00:00:00,Fully Paid,Quarterly EMI,110159,SANGRUR-110159
ACC000140,664,Mathura,JLG30K,49455,48436,29406,2020-01-05 00:00:00,Paid Off,Monthly EMI,910182,Mathura-910182
ACC000141,761,ASANSOL,JLG30K,45047,18515,39034,2021-02-18 00:00:00,Fully Paid,Monthly EMI,690076,ASANSOL-690076
ACC000142,417,NEEM KA THANA,JLG35K,6864,24499,19291,2022-02-18 00:00:00,Fully Paid,Quarterly EMI,80001,NEEM KA THANA-80001
ACC000143,806,SANGRUR,JLG30K,12820,22876,40557,2017-05-11 00:00:00,Active,Monthly EMI,110159,SANGRUR-110159
ACC000144,397,PAOTA,JLG35K,19235,41455,20303,2022-06-07 00:00:00,Fully Paid,Quarterly EMI,90149,PAOTA-90149
ACC000145,157,Mangaldoi,JLG30K,16674,38123,37000,2018-02-24 00:00:00,Fully Paid,Monthly EMI,570241,Mangaldoi-570241
ACC000146,513,NEEM KA THANA,JLG30K,12033,40061,28377,2017-05-02 00:00:00,Paid Off,Quarterly EMI,80001,NEEM KA THANA-80001
ACC000147,848,BULANDSHAHR,JLG35K,40850,10284,34745,2015-08-26 00:00:00,Active,Quarterly EMI,10068,BULANDSHAHR-10068
ACC000148,341,HABRA,JLG30K,15356,26948,44989,2017-09-25 00:00:00,Paid Off,Monthly EMI,650051,HABRA-650051
ACC000149,915,BEHROR,JLG30K,37349,33057,38285,2016-03-21 00:00:00,Fully Paid,Monthly EMI,30179,BEHROR-30179
ACC000150,753,CHHAPRA,JLG35K,46662,20335,44912,2023-09-19 00:00:00,Paid Off,Monthly EMI,380112,CHHAPRA-380112
ACC000151,617,CHHATA,JLG30K,16408,24200,24292,2019-10-06 00:00:00,Active,Quarterly EMI,910020,CHHATA-910020
ACC000152,102,Mathura,JLG30K,3534,7896,20211,2015-10-16 00:00:00,Fully Paid,Monthly EMI,910182,Mathura-910182
ACC000153,863,DHURI,JLG30K,36784,13835,29966,2016-11-22 00:00:00,Paid Off,Quarterly EMI,1030063,DHURI-1030063
ACC000154,671,FATEHGARH SAHIB,JLG30K,46282,10260,16848,2017-12-24 00:00:00,Active,Quarterly EMI,120676,FATEHGARH SAHIB-120676
ACC000155,518,Mangaldoi,JLG35K,41823,32694,32079,2023-01-10 00:00:00,Fully Paid,Monthly EMI,570241,Mangaldoi-570241
ACC000156,354,AGRA,JLG35K,26752,11057,44797,2021-05-16 00:00:00,Active,Quarterly EMI,140056,AGRA-140056
ACC000157,220,KURUKSHETRA,JLG30K,47247,21111,44677,2019-03-26 00:00:00,Paid Off,Monthly EMI,70364,KURUKSHETRA-70364
ACC000158,778,BEHROR,JLG30K,11139,25509,7581,2018-02-14 00:00:00,Default,Monthly EMI,30179,BEHROR-30179
ACC000159,785,HABRA,JLG30K,39335,48063,24404,2015-03-24 00:00:00,Active,Quarterly EMI,650051,HABRA-650051
ACC000160,283,DURGAPUR,JLG35K,15635,32389,24708,2019-04-04 00:00:00,Fully Paid,Quarterly EMI,700013,DURGAPUR-700013
ACC000161,693,BEHROR,JLG35K,43340,31728,42205,2017-03-23 00:00:00,Paid Off,Monthly EMI,30179,BEHROR-30179
ACC000162,215,CHHATA,JLG35K,33874,12339,26124,2021-02-01 00:00:00,Fully Paid,Quarterly EMI,910020,CHHATA-910020
ACC000163,176,BEHROR,JLG35K,48069,34477,28092,2021-04-23 00:00:00,Paid Off,Quarterly EMI,30179,BEHROR-30179
ACC000164,702,BULANDSHAHR,JLG45K,13705,49130,12428,2018-11-19 00:00:00,Paid Off,Monthly EMI,10068,BULANDSHAHR-10068
ACC000165,245,Mangaldoi,JLG35K,43272,48361,26602,2019-08-25 00:00:00,Default,Quarterly EMI,570241,Mangaldoi-570241
ACC000166,402,MUKTSAR,JLG46K,44687,2846,32388,2021-01-31 00:00:00,Fully Paid,Monthly EMI,1110166,MUKTSAR-1110166
ACC000167,316,Mathura,JLG30K,12036,32597,42591,2021-06-29 00:00:00,Fully Paid,Monthly EMI,910182,Mathura-910182
ACC000168,739,DURGAPUR,JLG35,4019,8664,10208,2023-09-15 00:00:00,Paid Off,Quarterly EMI,700013,DURGAPUR-700013
ACC000169,881,CHHATA,JLG35K,17328,2787,30353,2021-08-27 00:00:00,Active,Quarterly EMI,910020,CHHATA-910020
ACC000170,782,Mathura,JLG35K,14680,32346,15722,2021-07-01 00:00:00,Paid Off,Quarterly EMI,910182,Mathura-910182
ACC000171,879,MUKTSAR,JLG30K,25737,3933,23007,2018-12-24 00:00:00,Default,Quarterly EMI,1110166,MUKTSAR-1110166
ACC000172,701,CHHATA,JLG35,25833,11743,8429,2015-12-27 00:00:00,Active,Monthly EMI,910020,CHHATA-910020
ACC000173,906,Mathura,JLG35K,29610,15245,26132,2015-09-18 00:00:00,Paid Off,Quarterly EMI,910182,Mathura-910182
ACC000174,681,SANGRUR,JLG30K,21811,19646,25369,2023-10-11 00:00:00,Fully Paid,Quarterly EMI,110159,SANGRUR-110159
ACC000175,355,DHURI,JLG30K,24196,42626,31823,2017-10-05 00:00:00,Fully Paid,Quarterly EMI,1030063,DHURI-1030063
ACC000176,325,MUKTSAR,JLG30K,34948,21677,37869,2022-12-05 00:00:00,Active,Monthly EMI,1110166,MUKTSAR-1110166
ACC000177,593,MOTIHARI,JLG30K,42234,46536,41107,2016-02-14 00:00:00,Default,Quarterly EMI,520376,MOTIHARI-520376
ACC000178,731,TEZPUR,JLG30K,22800,33069,3925,2021-07-22 00:00:00,Paid Off,Monthly EMI,680026,TEZPUR-680026
ACC000179,218,BULANDSHAHR,JLG30K,29073,16701,26015,2023-03-20 00:00:00,Default,Monthly EMI,10068,BULANDSHAHR-10068
ACC000180,177,BEHROR,JLG30K,2024,3841,21283,2015-09-05 00:00:00,Active,Quarterly EMI,30179,BEHROR-30179
ACC000181,43,SANGRUR,JLG30K,20110,2754,2483,2019-03-05 00:00:00,Paid Off,Quarterly EMI,110159,SANGRUR-110159
ACC000182,223,MUKTSAR,JLG30K,22824,9792,15384,2020-10-12 00:00:00,Fully Paid,Quarterly EMI,1110166,MUKTSAR-1110166
ACC000183,87,CHHAPRA,JLG30K,6953,49194,2653,2020-08-21 00:00:00,Fully Paid,Quarterly EMI,380112,CHHAPRA-380112
ACC000184,219,DHURI,JLG30K,20343,38046,33912,2016-10-09 00:00:00,Fully Paid,Monthly EMI,1030063,DHURI-1030063
ACC000185,351,Mangaldoi,JLG30K,6992,42475,35954,2016-07-05 00:00:00,Fully Paid,Monthly EMI,570241,Mangaldoi-570241
ACC000186,679,DHURI,JLG35K,46543,45161,11056,2021-08-16 00:00:00,Paid Off,Quarterly EMI,1030063,DHURI-1030063
ACC000187,781,PALWAL,JLG35K,49518,49893,40954,2020-10-24 00:00:00,Paid Off,Quarterly EMI,20242,PALWAL-20242
ACC000188,455,KAROND,JLG35K,19480,46941,12993,2019-04-27 00:00:00,Paid Off,Quarterly EMI,1320004,KAROND-1320004
ACC000189,314,JAMMU,JLG35K,38399,14434,40286,2023-05-05 00:00:00,Paid Off,Quarterly EMI,720081,JAMMU-720081
ACC000190,53,GUWAHATI,JLG30K,28685,32571,21038,2023-04-21 00:00:00,Paid Off,Monthly EMI,560090,GUWAHATI-560090
ACC000191,746,Mangaldoi,JLG30K,16477,23145,2748,2017-08-25 00:00:00,Paid Off,Monthly EMI,570241,Mangaldoi-570241
ACC000192,699,CHHATA,JLG30K,40804,37493,11861,2015-01-24 00:00:00,Paid Off,Monthly EMI,910020,CHHATA-910020
ACC000193,953,MADHUBANI,JLG30K,43650,36361,1815,2023-03-01 00:00:00,Paid Off,Quarterly EMI,1140044,MADHUBANI-1140044
ACC000194,289,BEHROR,JLG30K,45157,24280,43973,2016-03-20 00:00:00,Paid Off,Monthly EMI,30179,BEHROR-30179
ACC000195,598,DHURI,JLG30K,17459,8642,38546,2019-09-06 00:00:00,Paid Off,Monthly EMI,1030063,DHURI-1030063
ACC000196,936,CUTTACK,JLG30K,2052,9217,6180,2021-04-19 00:00:00,Active,Monthly EMI,630081,CUTTACK-630081
ACC000197,693,CHHATA,JLG35K,3589,19204,9156,2016-08-30 00:00:00,Fully Paid,Monthly EMI,910020,CHHATA-910020
