Account ID,Total Pymnt,Total Pymnt inv,Total Rec Prncp,Total Fees,Total Rrec int,Is Delinquent Loan,Is Default Loan,Delinq 2 Yrs,Repayment Behavior
ACC000028,42243,50151,42433,3.13,2075.86,Y,N,0,On-Time
ACC000029,4321,7464,2489,0.52,4797.65,N,N,2,On-Time
ACC000030,38498,41625,36458,31.71,1720.65,Y,N,0,On-Time
ACC000031,43741,27936,43231,32.48,4262.3,N,N,2,Very Late
ACC000032,28399,32896,26262,47.41,4584.91,N,N,1,On-Time
ACC000033,7143,26102,6740,18.91,1398.67,Y,N,1,Very Late
ACC000034,29173,29734,27265,8.04,3019.25,N,N,2,Late
ACC000035,19664,25529,17563,21.64,119.38,N,N,1,Very Late
ACC000036,6718,7903,5558,20,666.46,N,N,1,On-Time
ACC000037,29736,34883,28464,20.19,2657.94,N,N,0,On-Time
ACC000038,8097,39514,8019,13.11,2783.02,N,N,0,On-Time
ACC000039,22817,5698,21099,16.1,2604.87,N,N,0,On-Time
ACC000040,29375,16720,28475,28.37,1848.66,N,N,1,Late
ACC000041,7943,27250,5868,1.47,2923.82,N,N,1,On-Time
ACC000042,14883,16157,12895,38.41,1467.99,Y,N,2,On-Time
ACC000043,29083,15549,27257,2.4,1718.28,N,N,2,On-Time
ACC000044,6526,30734,5119,31.27,676.13,N,N,0,Very Late
ACC000045,48890,31926,47971,38.93,2138.23,N,N,1,Very Late
ACC000046,16452,26365,15974,13.83,4688.38,N,N,0,On-Time
ACC000047,48885,26574,48450,13.5,2142.53,N,N,0,Very Late
ACC000048,42072,50117,40601,48.56,1585.69,N,N,2,Very Late
ACC000049,23831,14416,22417,39.26,4464.97,N,N,2,On-Time
ACC000050,31460,14125,31071,18.07,2250.87,N,N,1,On-Time
ACC000051,25609,38337,25104,23.48,2038.14,N,N,2,On-Time
ACC000052,48940,14649,49309,14.07,935.21,N,N,0,Late
ACC000053,35219,6332,35472,4.29,3564.2,N,N,2,On-Time
ACC000054,28816,39214,26890,33.18,4677.94,Y,N,0,On-Time
ACC000055,34820,29669,34498,40.58,4665.24,N,N,0,On-Time
ACC000056,30367,6420,29763,46.98,3725.35,N,N,0,On-Time
ACC000057,49822,7057,49488,21.92,4163.26,N,N,1,On-Time
ACC000058,22674,39398,21156,26.95,2757.06,N,N,2,On-Time
ACC000059,12127,36093,10850,46.12,3113.33,N,N,1,Very Late
ACC000060,46252,5050,45474,3.37,4344.62,N,N,0,On-Time
ACC000061,11839,46389,11915,33.19,145.08,Y,N,0,On-Time
ACC000062,19361,39469,19105,47.44,609.37,N,N,1,On-Time
ACC000063,13645,10282,13403,43.47,4599.25,N,N,1,On-Time
ACC000064,16935,8397,16220,14.6,382.53,N,N,2,On-Time
ACC000065,33411,44185,31975,38.2,4421.48,N,N,0,On-Time
ACC000066,42630,9653,42626,49.61,3704.96,N,N,1,On-Time
ACC000067,45918,47503,44803,28.73,1007.58,N,N,2,Late
ACC000068,45257,50511,44710,43.31,145.25,N,N,1,On-Time
ACC000069,29693,35540,27841,41.41,2935.38,N,N,1,On-Time
ACC000070,40005,24964,38813,39.58,158.62,N,N,1,On-Time
ACC000071,28135,19643,26662,44.58,1009.06,N,N,1,On-Time
ACC000072,42955,9692,43012,13.4,1639.51,N,N,0,On-Time
ACC000073,19537,11814,19759,34.9,3014.23,N,N,0,On-Time
ACC000074,23252,19188,22416,24.23,686.86,N,N,1,On-Time
ACC000075,13317,22064,13411,19.13,3843.94,N,N,2,On-Time
ACC000076,30745,47011,28758,48.99,2623.34,N,N,0,On-Time
ACC000077,8582,41327,7598,34.4,1396.08,Y,N,0,On-Time
ACC000078,49479,18292,47668,23.25,2530.17,N,N,2,Very Late
ACC000079,42629,29420,42332,37.89,1408.51,N,Y,1,Late
ACC000080,35819,24735,35561,45.52,288.86,N,N,0,On-Time
ACC000081,29618,28567,28210,21.08,4954.45,N,Y,1,On-Time
ACC000082,39331,38801,38349,12.3,1279.07,N,N,0,Late
ACC000083,46623,21100,44642,43.41,3398.29,N,N,2,Late
ACC000084,42373,4338,41607,35.78,163.41,N,N,1,On-Time
ACC000085,4082,39157,2799,0.76,1184.5,N,N,1,On-Time
ACC000086,12029,26751,10844,12.11,4890.11,N,N,0,Late
ACC000087,17045,49983,15831,23.6,2156.97,N,N,1,On-Time
ACC000088,10072,40793,8157,46.11,1665.4,N,N,2,Very Late
ACC000089,41274,18702,39677,21,4974.77,N,N,0,Late
ACC000090,51087,41935,49123,30.24,4157.18,N,N,2,On-Time
ACC000091,38241,48514,37657,11.74,564.87,N,N,0,On-Time
ACC000092,9907,45933,8220,45.56,495.11,N,N,1,On-Time
ACC000093,24893,39147,23214,46.63,2088.59,N,N,1,Very Late
ACC000094,39264,3803,38610,27.3,3449.13,N,N,1,On-Time
ACC000095,43731,19405,43050,17.01,4756.91,N,N,2,On-Time
ACC000096,47437,13933,47017,13.51,2979.46,N,N,0,Late
ACC000097,46023,17901,45978,28.26,2480.73,N,N,1,Late
ACC000098,46000,30770,44731,49.04,340.85,N,N,0,On-Time
ACC000099,7300,18285,6147,22.71,2516.37,Y,Y,0,On-Time
ACC000100,31310,38929,30169,30.61,811.22,N,N,1,Late
ACC000101,18772,29635,17397,41.7,826.95,N,N,2,On-Time
ACC000102,36277,49908,36045,1.75,3594.26,Y,N,2,Very Late
ACC000103,4967,8195,5162,20.58,4237.46,Y,N,0,Late
ACC000104,38682,38937,38329,49.68,1438.12,N,N,1,On-Time
ACC000105,15940,38201,15508,9.66,3110.55,N,N,0,Late
ACC000106,31241,44493,30906,40.72,1825.7,N,N,1,On-Time
ACC000107,15653,16632,14636,8.85,3094.82,N,N,0,Very Late
ACC000108,14780,26389,14837,32.27,1529.72,N,N,1,Very Late
ACC000109,29103,16810,28920,2.69,1688.41,N,N,2,Very Late
ACC000110,46892,35391,45000,0.49,1458.41,N,Y,0,On-Time
ACC000111,30266,37958,30398,31.45,2133.68,N,N,2,On-Time
ACC000112,42601,48193,42463,32.03,425.64,N,N,2,Late
ACC000113,6608,46485,5035,3.9,1591.16,N,N,2,On-Time
ACC000114,4267,28761,3271,34.85,2882.6,N,N,0,Late
ACC000115,18374,7512,17788,1.46,420.35,N,N,2,On-Time
ACC000116,28293,36969,27103,3.88,2362.56,N,N,0,On-Time
ACC000117,13789,21216,13391,35.57,4050.23,N,N,2,Very Late
ACC000118,41574,15649,40973,16.88,3810.98,N,N,1,On-Time
ACC000119,48981,5016,48077,44.95,3783.19,N,N,1,Late
ACC000120,46590,24205,46793,33.78,2799.91,N,N,1,On-Time
ACC000121,39913,21532,39254,11.35,2243.98,N,N,1,On-Time
ACC000122,31607,15711,30284,28.51,4856.14,N,N,2,On-Time
ACC000123,9286,35103,7767,31.5,799.56,N,N,0,On-Time
ACC000124,15591,16847,15252,34.95,1531.97,N,N,2,On-Time
ACC000125,36291,42790,35170,26.33,683.41,N,N,0,On-Time
ACC000126,38641,32774,38268,33.99,1409.91,N,N,2,On-Time
ACC000127,30604,38275,29107,11.87,316.27,N,N,1,On-Time
ACC000128,13060,12705,12669,42.36,1842.42,N,N,1,On-Time
ACC000129,48468,39915,47674,13.25,1882.53,N,N,0,Very Late
ACC000130,30123,21806,28946,7.79,1144.33,N,N,0,On-Time
ACC000131,38492,11634,37424,23.33,2627.79,N,N,2,On-Time
ACC000132,13933,16645,13356,12.68,1452.86,N,N,1,Late
ACC000133,7896,38513,7906,48,781.11,N,N,0,Very Late
ACC000134,19331,51088,17957,37.25,3681.93,N,N,0,On-Time
ACC000135,4185,9054,2161,47.97,3980.2,N,N,0,On-Time
ACC000136,33277,3090,32540,38.72,237.3,N,N,2,On-Time
ACC000137,11253,29235,9702,32.33,3154.45,N,N,1,On-Time
ACC000138,36075,33334,35420,7.17,4954.27,N,N,1,On-Time
ACC000139,27934,10355,26292,13.28,4271.36,N,N,2,On-Time
ACC000140,50310,50244,49093,26.37,3765.53,N,Y,1,On-Time
ACC000141,45160,19145,44661,42.08,4793.64,N,N,0,On-Time
ACC000142,8351,25120,6798,7.02,2698.96,Y,N,2,On-Time
ACC000143,12963,23132,12716,11,3999.12,N,N,2,Late
ACC000144,21076,42754,18935,9.82,4488.69,N,N,2,On-Time
ACC000145,18197,38892,16317,4.62,2410.31,N,N,1,On-Time
ACC000146,11755,39711,11776,24.32,3410.48,N,N,1,On-Time
ACC000147,41385,10055,40776,33.21,511.11,N,N,0,On-Time
ACC000148,15371,28518,15106,22.13,702.85,N,N,1,On-Time
ACC000149,38231,32802,36951,18.51,3027.92,N,N,1,Very Late
ACC000150,48148,21165,46429,46.96,2486.98,N,N,1,Very Late
ACC000151,16116,24825,16112,41.48,1391.69,N,N,0,On-Time
ACC000152,3774,9408,3090,24.56,2996.8,Y,N,0,On-Time
ACC000153,37250,15430,36765,17.84,1473.65,N,Y,0,On-Time
ACC000154,48036,10510,45935,43.12,2001.61,N,N,1,On-Time
ACC000155,43528,34320,41649,35.77,677.91,N,N,1,On-Time
ACC000156,27852,10687,26290,46.87,4749.55,N,N,0,Late
ACC000157,46871,20982,46865,11.24,2685.24,N,N,1,On-Time
ACC000158,11082,27183,10744,41.56,1935.13,N,N,2,On-Time
ACC000159,39603,49307,39152,37.75,1575.11,N,N,2,On-Time
ACC000160,16218,34135,15480,38.46,4044.81,N,N,1,Very Late
ACC000161,44990,31857,43103,12.5,1701.27,N,Y,0,On-Time
ACC000162,33434,13530,33595,30.08,1832.68,N,N,2,On-Time
ACC000163,48535,34452,47924,16.78,1700.16,N,N,0,On-Time
ACC000164,13488,50665,13206,34.67,1999.96,N,N,1,On-Time
ACC000165,45257,48722,42803,36.26,4064,N,N,1,On-Time
ACC000166,44586,2805,44613,11.49,4210.08,N,N,1,On-Time
ACC000167,13351,32974,11957,34.38,3583.26,N,N,0,On-Time
ACC000168,4644,8667,3707,7.69,278.55,N,N,0,Very Late
ACC000169,18859,2803,17162,30.7,4271.73,N,N,2,Late
ACC000170,16004,34234,14671,10.83,3121.71,N,N,0,Very Late
ACC000171,25850,5390,25398,4.78,1779.9,N,N,0,On-Time
ACC000172,27316,12930,25412,7.77,364.31,N,N,1,On-Time
ACC000173,30096,16287,29304,38.39,2416.86,Y,N,0,On-Time
ACC000174,22761,20111,21805,37.86,1778.26,N,N,0,Late
ACC000175,24552,43804,24193,14.46,2454.02,Y,N,0,On-Time
ACC000176,35297,22766,34682,12.21,423.83,N,N,1,On-Time
ACC000177,43587,46676,41800,34.09,1356.53,N,N,2,On-Time
ACC000178,23756,32613,22513,42.68,3306.33,N,N,0,On-Time
ACC000179,30726,17844,28796,14.23,1772.07,Y,N,0,On-Time
ACC000180,2881,4136,1743,37.85,1625,N,N,2,On-Time
ACC000181,21567,4378,20095,27.16,1099.87,Y,N,2,Very Late
ACC000182,24027,9437,22499,24.67,4530.1,N,N,1,On-Time
ACC000183,7271,49388,6564,30.42,4119.91,N,N,2,Late
ACC000184,20436,38552,19962,6.65,2776.12,N,N,1,On-Time
ACC000185,8260,42100,6760,46.27,729.72,N,N,1,Late
ACC000186,46484,45975,46473,39.89,2111.9,N,N,1,Very Late
ACC000187,50483,51614,49331,40.05,166.68,N,N,2,On-Time
ACC000188,19955,46991,19409,25.52,4777.41,N,N,0,On-Time
ACC000189,40296,15312,38370,20.03,2487.12,N,N,2,Very Late
ACC000190,28405,34081,28269,3.61,1042.62,N,N,1,On-Time
ACC000191,17024,24168,16203,4.51,4283.56,N,N,1,On-Time
ACC000192,40714,39326,40536,42.9,3805.7,N,N,2,On-Time
ACC000193,45147,37716,43358,30.1,1329.01,N,N,0,On-Time
ACC000194,45705,24858,44702,32.52,3009.31,N,N,1,On-Time
ACC000195,17157,8314,17372,25.26,4265.63,N,N,1,Very Late
ACC000196,3808,11107,1703,43.92,3707.92,N,N,2,On-Time
ACC000197,5388,20923,3287,22.35,2732.47,N,N,2,Late
ACC000198,14634,45163,12621,11.8,3476.13,Y,Y,0,On-Time
ACC000199,21057,11742,19292,19.98,3845.09,N,N,0,On-Time
ACC000200,31038,26912,29937,30,3391.75,N,N,2,On-Time
ACC000201,48201,33363,47235,36.71,4549.66,N,N,2,On-Time
ACC000202,5703,29830,4739,42.22,1035.13,N,N,0,Late
ACC000203,30778,47672,28928,1.98,4470.07,N,Y,0,Very Late
ACC000204,5467,42144,5617,3.63,3400.47,N,N,2,Very Late
ACC000205,51385,7795,49157,15.97,2526.69,N,N,1,On-Time
ACC000206,19245,36053,17897,0.06,1882.65,N,N,1,On-Time
ACC000207,24321,14023,22988,19.54,162.61,N,N,2,On-Time
ACC000208,16130,30700,14924,30.65,1001.3,N,Y,2,On-Time
ACC000209,8058,9498,8355,18.03,4422.37,N,N,2,On-Time
ACC000210,19243,20712,17919,6.98,1488.04,Y,N,2,Late
ACC000211,35017,34940,34808,45.02,1875.74,N,N,1,On-Time
ACC000212,44767,27997,44230,18.04,4083.24,N,N,2,On-Time
ACC000213,51511,45653,49599,6.45,2047.75,N,N,1,Late
ACC000214,15703,28798,15030,1.6,2107.55,N,N,1,On-Time
ACC000215,14787,36842,14404,20.32,4421.82,N,N,0,On-Time
ACC000216,29256,15683,28459,23.73,1300.79,N,N,1,Late
ACC000217,26582,35690,24961,18.08,2772.02,N,N,1,On-Time
ACC000218,40629,40353,38718,38.92,4152.57,N,N,2,On-Time
ACC000219,11287,44212,11256,29.32,4976.51,N,N,2,On-Time
ACC000220,27941,39977,26279,24.97,2007.61,N,N,0,Late
ACC000221,48671,35964,48132,33.82,3575.12,N,N,0,On-Time
ACC000222,18909,7948,16991,18.49,3262.06,N,N,0,On-Time
ACC000223,14597,35603,14434,16.53,3571.37,N,N,0,On-Time
ACC000224,26980,9867,25753,38.93,2480,N,N,1,On-Time
ACC000225,38171,47094,36137,49.24,4512.88,N,N,0,Very Late
ACC000226,24629,35103,23898,9.09,3651.94,N,Y,1,Very Late
ACC000227,48195,45852,46484,0.95,164.66,Y,N,2,On-Time
ACC000228,34475,4536,32677,43.06,3920.12,N,N,0,On-Time
ACC000229,24222,45860,22191,47.3,784.84,N,N,2,On-Time
ACC000230,35934,11338,35643,16.77,1069.95,N,N,1,On-Time
ACC000231,5596,47391,5322,16.72,2493.22,N,N,2,On-Time
ACC000232,36377,36321,35312,5.69,2037.54,N,N,2,On-Time
ACC000233,8219,15716,7276,21.77,1162.1,N,N,0,On-Time
ACC000234,19208,34625,16856,48.72,3495.42,N,N,2,On-Time
ACC000235,47195,37832,46096,23.68,1012.61,N,N,0,On-Time
ACC000236,28387,27139,27197,28.39,366.83,Y,N,2,Very Late
ACC000237,35438,35949,35070,28.51,3710.46,N,N,0,On-Time
ACC000238,4341,12780,3835,14.21,2459.83,N,N,2,On-Time
ACC000239,48584,42435,47565,22.02,281.09,N,N,1,On-Time
ACC000240,22998,49377,22707,30.14,2874.52,N,N,1,On-Time
ACC000241,15110,32286,14206,39.23,4910.36,N,N,2,Late
ACC000242,41006,22698,40618,44.22,2812.73,N,N,1,On-Time
ACC000243,20692,15032,20713,11.5,760.73,N,N,2,On-Time
ACC000244,31166,20722,30280,13.07,2126.64,N,N,0,On-Time
ACC000245,21174,22568,19690,18.11,2170.95,N,N,0,Late
ACC000246,8724,13068,8226,30.17,2198.94,N,N,2,On-Time
ACC000247,48598,35402,48024,8.7,4657.73,N,N,1,On-Time
ACC000248,12007,12767,11170,11.26,4228.22,N,N,2,Late
ACC000249,49622,14816,48135,45.92,2881.07,N,N,2,On-Time
ACC000250,44616,36474,43349,6.98,1550.91,N,N,0,On-Time
ACC000251,42233,27215,41418,16.5,4957.24,Y,Y,0,On-Time
ACC000252,8303,27104,7036,44.52,4485.18,N,N,1,On-Time
ACC000253,23261,13796,22245,37.92,1568.38,N,N,0,On-Time
ACC000254,38542,32203,38513,28.79,4306.76,N,N,2,On-Time
ACC000255,12921,38065,12522,25.53,4448.4,N,Y,1,On-Time
ACC000256,29341,13436,28530,24,4258.59,N,N,2,Very Late
ACC000257,19501,49876,19101,37.68,2596.94,N,N,0,Late
ACC000258,28979,3914,27911,35.83,3062.68,N,N,2,On-Time
ACC000259,19359,5905,17903,28.22,1197.54,N,N,1,On-Time
ACC000260,28494,40979,27073,5,3899.29,N,N,0,On-Time
ACC000261,24617,22481,23410,40.89,4829.85,N,N,2,Late
ACC000262,20690,49068,21011,1.71,1922.91,N,Y,0,On-Time
ACC000263,28028,45405,25677,14.07,1770.49,N,N,0,On-Time
ACC000264,17670,17244,17229,25.77,4918.56,N,Y,0,Very Late
ACC000265,24801,39497,24443,40.6,992.62,N,N,2,On-Time
ACC000266,19628,30403,19061,12.54,698.86,N,N,0,Late
ACC000267,28277,46923,27649,18.5,4873.62,N,N,1,Late
ACC000268,23201,45645,21433,5.96,4045.15,N,N,0,Late
ACC000269,50918,24765,49520,14.36,390.85,N,N,2,On-Time
ACC000270,31539,49728,29617,41.39,2125.09,N,N,1,On-Time
ACC000271,50822,7746,48913,24.06,1714.01,N,N,1,Late
ACC000272,42352,37560,41018,13.14,1607.86,Y,N,2,Very Late
ACC000273,22286,22010,20999,8.14,2445.41,N,N,1,On-Time
ACC000274,11909,4446,11883,14.72,1349.09,N,N,0,On-Time
ACC000275,11498,7589,11891,8.09,3871.1,N,Y,2,On-Time
ACC000276,11372,38375,11565,15.12,3175.05,N,N,2,On-Time
ACC000277,19644,16083,19959,21.92,2468.96,N,N,2,On-Time
ACC000278,33903,48914,32547,26.75,3673.54,N,N,0,Very Late
ACC000279,43072,16698,43125,12.55,1604.79,Y,N,0,On-Time
ACC000280,32392,6945,32192,30.72,2613.61,N,N,1,Very Late
ACC000281,41856,13704,41064,43.75,2507.57,N,N,0,Late
ACC000282,4857,46444,4247,41.34,2862.2,N,N,0,Very Late
ACC000283,6702,42636,6308,11.72,4453.88,N,N,2,On-Time
ACC000284,38381,20290,36744,35.17,4726.1,N,N,0,Very Late
ACC000285,45112,8911,43489,19.08,2271.48,Y,N,1,On-Time
ACC000286,46788,33371,45933,12.8,470.94,N,N,2,Late
ACC000287,29850,16425,27831,22.16,4819.6,Y,N,0,On-Time
ACC000288,23172,15317,23147,27.21,1367.97,N,N,2,Late
ACC000289,13225,41860,10952,13.64,2046.77,N,N,0,Very Late
ACC000290,22227,30772,21637,2.42,284.3,N,N,2,On-Time
ACC000291,19628,34103,19429,11.56,3890.54,N,N,1,On-Time
ACC000292,15573,28432,13395,41.74,4506.22,Y,N,2,On-Time
ACC000293,18024,44373,16133,11.2,1424.26,N,N,0,On-Time
ACC000294,45304,47429,44632,13.79,1879.7,N,Y,0,On-Time
ACC000295,25770,48110,25070,41,3301.19,N,N,0,On-Time
ACC000296,14723,10572,13561,45.61,4112.22,N,N,1,On-Time
ACC000297,23586,7435,22449,13.08,3678.82,N,N,0,Late
ACC000298,7299,35579,7125,41.48,536.63,N,N,1,On-Time
ACC000299,11163,31710,10121,29.76,1894.12,Y,N,2,On-Time
ACC000300,11445,37948,9783,43.88,2415.01,N,N,1,Very Late
ACC000301,44237,9272,42942,31.49,278.82,N,N,0,Very Late
ACC000302,20125,20744,19837,48.74,922.96,N,N,0,On-Time
ACC000303,18615,28348,16971,49.96,1855.53,N,N,2,On-Time
ACC000304,44823,13910,43848,17.14,2241.24,N,N,0,Late
ACC000305,31843,26949,30764,11.52,1092.19,N,N,2,On-Time
ACC000306,5178,34184,4025,20.71,1184.65,N,N,2,On-Time
ACC000307,36854,32265,35246,19.68,3983.67,N,N,1,Late
ACC000308,17837,20415,18156,34.54,1205.87,N,N,0,On-Time
ACC000309,25598,21127,25915,31,2267.66,N,N,2,Late
ACC000310,17574,26023,15326,40.5,3773.48,N,Y,0,On-Time
ACC000311,34308,41653,33977,33.31,1359.65,N,N,0,On-Time
ACC000312,4505,4890,4339,35.76,3038.73,N,N,1,On-Time
ACC000313,5975,41709,3970,9.9,4782.06,N,N,0,On-Time
ACC000314,5817,19570,5166,28.92,1514.07,N,N,1,On-Time
ACC000315,19218,35281,18250,42.54,1078.9,N,N,1,Late
ACC000316,12050,3252,12082,14.63,3791,N,N,1,On-Time
ACC000317,8053,44136,7477,42.43,813.39,N,N,2,On-Time
ACC000318,6827,49573,7011,39.67,4674.08,N,N,2,Very Late
ACC000319,20756,16311,19890,41.68,182.57,N,N,0,On-Time
ACC000320,8034,29264,6727,13.23,4705.12,N,N,0,Very Late
ACC000321,9429,26534,8285,40.8,1255.25,N,N,2,On-Time
ACC000322,37071,48971,35714,32.42,2456.83,N,N,0,On-Time
ACC000323,7645,5335,5281,5.87,2630.8,N,Y,0,Late
ACC000324,8763,36939,7749,25.34,173.5,N,N,2,On-Time
ACC000325,38599,46983,36574,42.29,3392.7,N,N,1,On-Time
ACC000326,30196,30285,28801,25.45,2879.05,N,N,2,Late
ACC000327,27297,23602,26758,2.34,4596.67,N,N,2,On-Time
ACC000328,18490,12378,16592,17.23,2332.88,N,N,1,Late
ACC000329,46782,32120,45350,15.91,4594.43,N,N,2,Late
ACC000330,33393,39124,32368,45.48,4145.73,N,N,0,Late
ACC000331,33488,36453,31788,17.81,2410.14,N,N,0,On-Time
ACC000332,6331,4271,4498,46.03,3053.66,Y,N,0,On-Time
ACC000333,40825,47383,40149,39.03,2441.31,N,N,0,On-Time
ACC000334,41659,39429,39705,24.75,3046.77,N,N,2,On-Time
ACC000335,47623,28699,45760,6.54,4899.46,N,N,0,Late
ACC000336,12206,5093,10420,21.3,2966.65,N,N,1,Late
ACC000337,24269,27735,22901,13.91,4051.77,N,N,0,On-Time
ACC000338,16726,27891,14295,14.92,4543.12,N,N,1,On-Time
ACC000339,44610,29816,42570,18.48,2471.74,Y,N,2,On-Time
ACC000340,18533,21323,17558,43.48,191.62,N,N,0,On-Time
ACC000341,3463,27497,3756,48.04,747.99,N,N,1,Late
ACC000342,31632,31194,30990,19.81,1914.71,N,N,2,On-Time
ACC000343,20312,7665,19445,9.68,3734.07,N,N,0,On-Time
ACC000344,44499,28255,43350,29.19,804.94,N,N,1,On-Time
ACC000345,6134,12105,4503,3.02,2764.91,N,N,0,On-Time
ACC000346,25681,33317,25700,23.86,3258.99,N,N,0,On-Time
ACC000347,4981,40886,3248,42.88,555.46,N,N,2,Very Late
ACC000348,12289,31408,11456,27.4,630.56,N,N,2,On-Time
ACC000349,41909,35610,41891,15.94,2527.27,N,N,2,On-Time
ACC000350,6559,23211,4198,42.04,4288.27,Y,N,2,On-Time
ACC000351,8557,28015,7777,38.39,1943.25,N,N,2,Very Late
ACC000352,47109,26587,45540,13.14,594.15,N,N,1,On-Time
ACC000353,14527,9108,14404,25.69,2512.32,N,N,2,Late
ACC000354,18428,6278,17312,44.01,383.28,N,N,2,On-Time
ACC000355,46649,32446,47004,30.33,3228.17,N,N,1,On-Time
ACC000356,7394,39585,5548,0.05,4918.56,N,N,0,On-Time
ACC000357,20620,17709,20162,23.71,2078.1,N,N,2,On-Time
ACC000358,14935,22353,14970,11.43,1102.94,N,N,0,On-Time
ACC000359,4438,36039,2728,46.31,2042.82,N,N,0,Late
ACC000360,37590,46581,36197,31.65,2778.5,N,N,1,Late
ACC000361,30553,15371,28904,48.4,4671.68,Y,N,1,On-Time
ACC000362,29994,24496,29800,9.09,1768.11,N,N,1,On-Time
ACC000363,12417,28372,11415,49.29,419.16,N,N,2,On-Time
ACC000364,34476,27250,34703,29.94,4948.79,N,N,0,On-Time
ACC000365,3333,5676,3050,26.74,3271.32,N,Y,2,Very Late
ACC000366,24713,42149,23625,47.87,4553.75,Y,N,1,On-Time
ACC000367,21255,40105,21382,30.98,4070.66,N,N,1,Late
ACC000368,17017,8645,16562,10.49,869.19,N,N,2,On-Time
ACC000369,8884,5239,8300,29.2,1763,N,N,1,Very Late
ACC000370,25021,20780,24506,18.36,4541.85,N,N,1,Late
ACC000371,29471,34587,27897,42.62,4251.5,N,N,0,On-Time
ACC000372,41281,18107,41088,9.32,1420.31,N,N,0,On-Time
ACC000373,12300,20177,11402,27.18,137.13,N,N,0,On-Time
ACC000374,17198,32136,16886,49.84,2655.61,N,N,1,Very Late
ACC000375,29047,25614,28468,46.66,2671.18,N,N,0,On-Time
ACC000376,32700,9149,32577,42.24,2816.84,N,N,1,Late
ACC000377,15210,20467,15206,7.29,1644.18,N,N,2,On-Time
ACC000378,15826,10288,15743,33.79,1064.03,N,N,1,On-Time
ACC000379,30670,20254,29113,14.08,4501.83,N,N,1,Late
ACC000380,41576,31917,41422,31.73,1975.7,N,N,2,On-Time
ACC000381,33993,22005,33902,0.11,3915.63,N,N,2,Late
ACC000382,35677,10142,36015,43.5,4627.11,N,N,0,On-Time
ACC000383,18786,5890,18547,31.29,111.46,N,N,0,On-Time
ACC000384,32402,12384,32390,0.14,3089.52,N,N,0,On-Time
ACC000385,36891,34472,35494,44.45,692.15,N,Y,1,Very Late
ACC000386,38533,13730,38722,30.73,558.56,N,N,0,On-Time
ACC000387,28026,18498,26226,32.62,4892.82,N,N,1,On-Time
ACC000388,44509,9292,43574,11.52,4219.54,N,N,0,On-Time
ACC000389,24819,17272,22722,42.9,2239.19,N,N,1,On-Time
ACC000390,10857,15441,9916,14.4,3956.02,N,N,0,On-Time
ACC000391,48251,32788,47243,31.84,599.36,Y,N,2,Very Late
ACC000392,28366,46921,27164,0.66,2055.48,N,N,1,On-Time
ACC000393,16443,12671,15235,14.07,189.93,N,N,1,On-Time
ACC000394,24198,41747,22112,5.86,3773.95,N,N,0,On-Time
ACC000395,40644,42810,39303,40.96,263.4,N,N,2,Very Late
ACC000396,19868,8781,19039,41.86,3081.28,N,N,0,On-Time
ACC000397,34664,10877,33796,41.29,2115.61,Y,N,2,Late
ACC000398,46261,41494,44582,24.65,3177.74,N,N,1,Late
ACC000399,40979,47811,40657,23.79,244.85,N,N,0,On-Time
ACC000400,45831,17052,43990,16.6,4819.1,Y,N,2,Late
